frame,x,y,z,r1,r2,r3,r4,r5,r6,r7,r8,r9
36,90.20777893066406,-307.2213439941406,-1608.2156982421875,0.0873008996479919,-0.8466604602358506,-0.5249234401261472,0.5916519689743862,-0.37986495832198613,0.7110911060108738,-0.8014527437905389,-0.37265088019787823,0.46776577574504474
37,94.24665069580078,-311.163818359375,-1611.0130615234375,0.07565607305264443,-0.806696621499011,-0.5861029939117649,0.5878250825026411,-0.4387075841180248,0.6797038531729017,-0.8054426304778114,-0.3959497651210411,0.4410056150544756
38,141.02444458007812,-319.79046630859375,-1597.7518310546875,-0.03327026114046982,-0.6242390908939137,-0.7805245973853644,0.5226994167604974,-0.6765081839049755,0.5187696953637787,-0.8518676008875328,-0.39072014858403703,0.3487970126715354
39,156.5022735595703,-323.1826477050781,-1603.5069580078125,0.0504023125833756,-0.5617991394433545,-0.8257368429511633,0.522481911580131,-0.6897914002939425,0.5011990384588684,-0.8511593616696111,-0.45669415477015746,0.25876280652549666
40,153.09036254882812,-327.6868896484375,-1599.652587890625,0.029698219939650893,-0.5731931496439482,-0.8188819383364531,0.5286392023619763,-0.6862859803667078,0.49955194612592596,-0.8483269472665061,-0.44772889827814,0.28263089744069625
41,153.64122009277344,-327.48699951171875,-1599.87646484375,0.032424451028028704,-0.5733346365086616,-0.8186794547043501,0.53150219600679,-0.6837980939800878,0.4999255767703418,-0.8464360995464991,-0.4513397403826524,0.28255684053979163
42,54.901893615722656,-258.242919921875,-1520.385986328125,0.02336331149642364,-0.7709828389025292,-0.6364272289851509,0.5227521807428003,-0.533215551299378,0.6651400855317224,-0.8521644871763712,-0.34823359684312066,0.39057527933182756
43,40.13079071044922,-215.1319580078125,-1476.79638671875,0.03915180081922662,-0.8048282390884639,-0.5922150302536858,0.519738824910612,-0.4897862177800116,0.699986438978133,-0.8534276128490031,-0.33520287355348477,0.39912447079618996
44,41.05327606201172,-211.8909454345703,-1473.8526611328125,0.039873576689129275,-0.8141548187957676,-0.57927716070431,0.5207582845454876,-0.47784583652796325,0.7074419874379327,-0.8527724825293422,-0.32987162282397364,0.4049244441821473
45,38.45995330810547,-213.88748168945312,-1477.7694091796875,0.04188316539380563,-0.8048820689058415,-0.5919549439023609,0.5171307528944773,-0.48947669584328446,0.7021312901709563,-0.8548810355057516,-0.3355255867742323,0.39572843687612463
46,12.384788513183594,-207.402099609375,-1486.5576171875,0.16173511907809385,-0.8070825508717513,-0.5678551816573851,0.5197994104711536,-0.41945994174667184,0.7442190068412119,-0.8388386758671992,-0.4155371383501428,0.35167963051780293
47,7.138618469238281,-205.4468994140625,-1488.2933349609375,0.2022538175855658,-0.8142931970678086,-0.5440771843049034,0.5136537689881642,-0.38480709784123823,0.766865896396011,-0.8338184447925809,-0.43456885146095187,0.340436065162889
